fecha,CO,O3,PM10,SO2,NOx
2010/01/01 00:00:00,<LD,16,"13,6","0,3",---
2010/01/01 01:00:00,<LD,14,"6,8","0,4",---
2010/01/01 02:00:00,<LD,9,"5,7","0,4",---
2010/01/01 03:00:00,<LD,16,"3,4","0,3",---
2010/01/01 04:00:00,<LD,16,"6,1","0,3",---
2010/01/01 05:00:00,<LD,8,"5,7","0,4",---
2010/01/01 06:00:00,<LD,9,"5,2","0,4",---
2010/01/01 07:00:00,<LD,13,"5,0","0,4",---
2010/01/01 08:00:00,<LD,12,<LD,"0,3",---
2010/01/01 09:00:00,<LD,10,<LD,"0,3",---
2010/01/01 10:00:00,<LD,9,<LD,"0,3",---
2010/01/01 11:00:00,<LD,9,"2,6","0,3",---
2010/01/01 12:00:00,<LD,11,"7,5","0,3",---
2010/01/01 13:00:00,<LD,12,"4,5","0,3",---
2010/01/01 14:00:00,<LD,13,"3,3","0,3",---
2010/01/01 15:00:00,<LD,14,<LD,"0,3",---
2010/01/01 16:00:00,<LD,15,<LD,"0,3",---
2010/01/01 17:00:00,<LD,16,"2,9","0,3",---
2010/01/01 18:00:00,<LD,15,"31,5","0,3",---
2010/01/01 19:00:00,<LD,12,"4,5","0,3",---
2010/01/01 20:00:00,<LD,10,<LD,"0,3",---
2010/01/01 21:00:00,<LD,9,"5,4","0,3",---
2010/01/01 22:00:00,<LD,10,"7,8","0,3",---
2010/01/01 23:00:00,<LD,9,"5,8","0,3",---
2011/01/01 00:00:00,<LD,18,"66,8","0,3",2
2011/01/01 01:00:00,<LD,15,"56,8","0,3",4
2011/01/01 02:00:00,"0,04",12,"52,9","0,3",7
2011/01/01 03:00:00,<LD,13,"46,2","0,3",6
2011/01/01 04:00:00,<LD,13,"51,6","0,3",2
2011/01/01 05:00:00,<LD,14,"42,4","0,3",1
2011/01/01 06:00:00,<LD,16,"46,2","0,4",1
2011/01/01 07:00:00,<LD,18,"32,3","0,3",1
2011/01/01 08:00:00,<LD,21,"32,7","0,3",2
2011/01/01 09:00:00,<LD,25,"29,0","0,3",2
2011/01/01 10:00:00,<LD,29,"28,0","0,2",<LD
2011/01/01 11:00:00,<LD,30,"18,1","0,2",<LD
2011/01/01 12:00:00,<LD,32,"15,0","0,2",2
2011/01/01 13:00:00,<LD,34,"16,4","0,2",1
2011/01/01 14:00:00,<LD,35,"42,5","0,2",<LD
2011/01/01 15:00:00,<LD,34,"30,4","0,1",1
2011/01/01 16:00:00,<LD,32,"42,6","0,1",1
2011/01/01 17:00:00,<LD,30,"46,2","0,1",<LD
2011/01/01 18:00:00,<LD,29,"44,9","0,1",<LD
2011/01/01 19:00:00,<LD,28,"28,9","0,1",<LD
2011/01/01 20:00:00,<LD,28,"117,7","0,3",<LD
2011/01/01 21:00:00,<LD,26,"90,8","0,3",<LD
2011/01/01 22:00:00,<LD,24,"74,7","0,3",2
2011/01/01 23:00:00,<LD,19,"95,2","0,3",2
2010/01/02 00:00:00,<LD,18,---,"0,3",---
2010/01/02 01:00:00,<LD,16,---,"0,3",---
2010/01/02 02:00:00,<LD,15,---,"0,3",---
2010/01/02 03:00:00,<LD,12,---,"0,3",---
2010/01/02 04:00:00,<LD,12,---,"0,3",---
2010/01/02 05:00:00,"0,04",13,---,"0,4",---
2010/01/02 06:00:00,<LD,13,---,"0,4",---
2010/01/02 07:00:00,"0,07",14,---,"0,4",---
2010/01/02 08:00:00,"0,04",17,---,"0,3",---
2010/01/02 09:00:00,<LD,17,---,"0,4",---
2010/01/02 10:00:00,"0,05",21,---,"0,3",---
2010/01/02 11:00:00,"0,06",25,---,"0,3",---
2010/01/02 12:00:00,"0,05",26,---,"0,3",---
2010/01/02 13:00:00,<LD,26,---,"0,3",---
2010/01/02 14:00:00,<LD,28,---,"0,3",---
2010/01/02 15:00:00,<LD,28,---,"0,3",---
2010/01/02 16:00:00,"0,04",28,---,"0,3",---
2010/01/02 17:00:00,"0,04",27,---,"0,3",---
2010/01/02 18:00:00,<LD,19,---,"0,3",---
2010/01/02 19:00:00,<LD,16,---,"0,3",---
2010/01/02 20:00:00,<LD,14,---,"0,3",---
2010/01/02 21:00:00,<LD,13,---,"0,3",---
2010/01/02 22:00:00,<LD,10,---,"0,3",---
2010/01/02 23:00:00,"0,08",7,---,"0,3",---
2011/01/02 00:00:00,<LD,9,"47,0","0,1",7
2011/01/02 01:00:00,<LD,3,"32,5","0,1",12
2011/01/02 02:00:00,<LD,<LD,"62,4","0,1",21
2011/01/02 03:00:00,<LD,1,"26,2","0,1",15
2011/01/02 04:00:00,<LD,3,"12,1","0,1",6
2011/01/02 05:00:00,<LD,3,"24,9","0,1",6
2011/01/02 06:00:00,<LD,1,"41,6","0,1",22
2011/01/02 07:00:00,"0,04",6,"59,5","0,1",25
2011/01/02 08:00:00,"0,07",27,"66,7","0,1",30
2011/01/02 09:00:00,<LD,12,"16,7","0,1",14
2011/01/02 10:00:00,<LD,12,"8,4","0,1",5
2011/01/02 11:00:00,<LD,12,"13,8","0,1",4
2011/01/02 12:00:00,<LD,12,"25,9","0,1",4
2011/01/02 13:00:00,<LD,13,"16,1","0,1",3
2011/01/02 14:00:00,<LD,14,"22,4","0,1",4
2011/01/02 15:00:00,<LD,15,"39,2","0,1",6
2011/01/02 16:00:00,<LD,16,"71,5","0,1",4
2011/01/02 17:00:00,<LD,14,"57,7","0,1",8
2011/01/02 18:00:00,<LD,15,"77,6","0,1",5
2011/01/02 19:00:00,<LD,15,"85,7","0,1",3
2011/01/02 20:00:00,<LD,11,"70,1","0,1",4
2011/01/02 21:00:00,<LD,10,"51,3","0,1",4
2011/01/02 22:00:00,<LD,9,"49,7","0,1",8
2011/01/02 23:00:00,<LD,9,"54,7","0,1",8
2010/01/03 00:00:00,<LD,19,"28,8","0,3",2
2010/01/03 01:00:00,<LD,19,"39,7","0,3",1
2010/01/03 02:00:00,<LD,19,"34,6","0,3",1
2010/01/03 03:00:00,<LD,20,"30,8","0,3",<LD
2010/01/03 04:00:00,<LD,19,"23,0","0,3",1
2010/01/03 05:00:00,<LD,17,"17,2","0,3",<LD
2010/01/03 06:00:00,<LD,14,"18,8","0,3",2
2010/01/03 07:00:00,"0,04",16,"27,8","0,4",6
2010/01/03 08:00:00,"0,04",19,"48,7","0,5",17
2010/01/03 09:00:00,<LD,24,"52,0","0,4",11
2010/01/03 10:00:00,<LD,31,"86,8","0,3",7
2010/01/03 11:00:00,<LD,36,"85,4","0,3",5
2010/01/03 12:00:00,<LD,31,"41,9","0,3",5
2010/01/03 13:00:00,<LD,27,"37,0","0,3",3
2010/01/03 14:00:00,<LD,25,"46,6","0,3",3
2010/01/03 15:00:00,<LD,23,"34,4","0,3",4
2010/01/03 16:00:00,<LD,22,"36,0","0,3",3
2010/01/03 17:00:00,<LD,23,"59,0","0,3",4
2010/01/03 18:00:00,<LD,24,"82,5","0,4",4
