provincia;departamento;genero_id;unimedcort_id;cortina;unimedmac_id;macizo
Corrientes;Bella Vista;Pinus spp. ;m3;sd;m3;12884
Corrientes;Bella Vista;Eucalyptus spp.;m3;sd;m3;157746
Corrientes;Beron de Astrada;Pinus spp. ;m3;sd;m3;33377
Corrientes;Beron de Astrada;Eucalyptus spp.;m3;sd;m3;46142
Corrientes;Capital;Pinus spp. ;m3;sd;m3;368
Corrientes;Capital;Eucalyptus spp.;m3;sd;m3;18002
Corrientes;Concepcion;Pinus spp. ;m3;sd;m3;6321256
Corrientes;Concepcion;Eucalyptus spp.;m3;sd;m3;2668495
Corrientes;Curuzu Cuatia;Pinus spp. ;m3;sd;m3;53199
Corrientes;Curuzu Cuatia;Eucalyptus spp.;m3;sd;m3;655533
Corrientes;Empedrado;Pinus spp. ;m3;sd;m3;42250
Corrientes;Empedrado;Eucalyptus spp.;m3;sd;m3;88112
Corrientes;Esquina;Pinus spp. ;m3;sd;m3;1036298
Corrientes;Esquina;Eucalyptus spp.;m3;sd;m3;258744
Corrientes;General Alvear;Pinus spp. ;m3;sd;m3;2490935
Corrientes;General Alvear;Eucalyptus spp.;m3;sd;m3;574893
Corrientes;General Paz;Pinus spp. ;m3;sd;m3;30684
Corrientes;General Paz;Eucalyptus spp.;m3;sd;m3;616321
Corrientes;Goya;Pinus spp. ;m3;sd;m3;322909
Corrientes;Goya;Eucalyptus spp.;m3;sd;m3;1408788
Corrientes;Itati;Pinus spp. ;m3;sd;m3;900
Corrientes;Itati;Eucalyptus spp.;m3;sd;m3;38210
Corrientes;Ituzaingo;Pinus spp. ;m3;sd;m3;13224081
Corrientes;Ituzaingo;Eucalyptus spp.;m3;sd;m3;2577610
Corrientes;Lavalle;Pinus spp. ;m3;sd;m3;164153
Corrientes;Lavalle;Eucalyptus spp.;m3;sd;m3;531935
Corrientes;Mburucuya;Pinus spp. ;m3;sd;m3;23058
Corrientes;Mburucuya;Eucalyptus spp.;m3;sd;m3;266677
Corrientes;Mercedes;Pinus spp. ;m3;sd;m3;88786
Corrientes;Mercedes;Eucalyptus spp.;m3;sd;m3;337879
Corrientes;Monte Caseros;Pinus spp. ;m3;sd;m3;71235
Corrientes;Monte Caseros;Eucalyptus spp.;m3;sd;m3;4755302
Corrientes;Paso de los Libres;Pinus spp. ;m3;sd;m3;2226464
Corrientes;Paso de los Libres;Eucalyptus spp.;m3;sd;m3;9446575
Corrientes;Saladas;Pinus spp. ;m3;sd;m3;36122
Corrientes;Saladas;Eucalyptus spp.;m3;sd;m3;796327
Corrientes;San Cosme;Pinus spp. ;m3;sd;m3;19948
Corrientes;San Cosme;Eucalyptus spp.;m3;sd;m3;29677
Corrientes;San Luis del Palmar;Pinus spp. ;m3;sd;m3;19323
Corrientes;San Luis del Palmar;Eucalyptus spp.;m3;sd;m3;43619
Corrientes;San Martin;Pinus spp. ;m3;sd;m3;3957014
Corrientes;San Martin;Eucalyptus spp.;m3;sd;m3;612248
Corrientes;San Miguel;Pinus spp. ;m3;sd;m3;2149865
Corrientes;San Miguel;Eucalyptus spp.;m3;sd;m3;1149873
Corrientes;San Roque;Pinus spp. ;m3;sd;m3;1489640
Corrientes;San Roque;Eucalyptus spp.;m3;sd;m3;752259
Corrientes;Santo Tome;Pinus spp. ;m3;sd;m3;20029671
Corrientes;Santo Tome;Eucalyptus spp.;m3;sd;m3;3929106
Corrientes;Sauce;Pinus spp. ;m3;sd;m3;0
Corrientes;Sauce;Eucalyptus spp.;m3;sd;m3;157327
Entre Rios;Colon;Pinus spp. ;m3;sd;m3;657043
Entre Rios;Concordia;Pinus spp. ;m3;sd;m3;418617
Entre Rios;Federacion;Pinus spp. ;m3;sd;m3;65463
Entre Rios;Colon;Eucalyptus spp.;m3;sd;m3;9535020
Entre Rios;Concordia;Eucalyptus spp.;m3;sd;m3;4810525
Entre Rios;Federacion;Eucalyptus spp.;m3;sd;m3;2200481
Mendoza;General Alvear;Populus spp.;m3;16002,87;m3;5885
Mendoza;Guaymallen;Populus spp.;m3;sd;m3;0
Mendoza;Junin;Populus spp.;m3;sd;m3;0
Mendoza;La Paz;Populus spp.;m3;sd;m3;2375
Mendoza;Las Heras;Populus spp.;m3;sd;m3;51793
Mendoza;Lavalle;Populus spp.;m3;13933,13;m3;7141
Mendoza;Lujan de Cuyo;Populus spp.;m3;804,67;m3;0
Mendoza;Maipu;Populus spp.;m3;13411,87;m3;0
Mendoza;Malargue;Populus spp.;m3;944,68;m3;4617
Mendoza;Rivadavia;Populus spp.;m3;sd;m3;0
Mendoza;San Carlos;Populus spp.;m3;58310,53;m3;278024
Mendoza;San Martin;Populus spp.;m3;sd;m3;0
Mendoza;San Rafael;Populus spp.;m3;66301,98;m3;15743
Mendoza;Santa Rosa;Populus spp.;m3;21917,31;m3;1275
Mendoza;Tunuyan;Populus spp.;m3;41185,94;m3;233581
Mendoza;Tupungato;Populus spp.;m3;1301,98;m3;3669
San Juan;Calingasta;Populus spp.;m3;21562,54;m3;36064
San Juan;Iglesia;Populus spp.;m3;10099,31;m3;34042
San Juan;Sarmiento;Populus spp.;m3;11431,03;m3;61801
Buenos Aires;Patagones;Pinus spp.;m3;sd;m3;sd
Buenos Aires;Patagones;Otros;m3;5,903,211,813;m3;sd
Buenos Aires;Patagones;Populus spp.;m3;304,7;m3;sd
Buenos Aires;Patagones;Salix spp.;m3;sd;m3;sd
Chubut;Biedma;Pinus spp.;m3;5,529,327,473;m3;sd
Chubut;Biedma;Otros;m3;2,103,795,471;m3;sd
Chubut;Biedma;Populus spp.;m3;11209,1;m3;sd
Chubut;Biedma;Salix spp.;m3;1,102,840,228;m3;sd
Chubut;Cushamen;Pinus spp.;m3;3,690,053,059;m3;668455,47
Chubut;Cushamen;Otros;m3;1,310,214,204;m3;5130,82
Chubut;Cushamen;Populus spp.;m3;70108,7;m3;2185,53
Chubut;Cushamen;Salix spp.;m3;6,868,333,691;m3;5,41
Chubut;Escalante;Pinus spp.;m3;1,614,484,512;m3;sd
Chubut;Escalante;Otros;m3;6,142,781,777;m3;sd
Chubut;Escalante;Populus spp.;m3;327,3;m3;sd
Chubut;Escalante;Salix spp.;m3;3,220,135,677;m3;sd
Chubut;Futaleufu;Pinus spp.;m3;222,709,743;m3;353863,65
Chubut;Futaleufu;Otros;m3;8,473,648,035;m3;1559,37
Chubut;Futaleufu;Populus spp.;m3;45148;m3;577,25
Chubut;Futaleufu;Salix spp.;m3;4,442,009,718;m3;31,91
Chubut;Gaiman;Pinus spp.;m3;7,363,909,389;m3;509,07
Chubut;Gaiman;Otros;m3;2,836,897,611;m3;2,09
Chubut;Gaiman;Populus spp.;m3;150414,5;m3;1626,86
Chubut;Gaiman;Salix spp.;m3;1,497,072,321;m3;0,07
Chubut;Gastre;Pinus spp.;m3;3,319,184,101;m3;sd
Chubut;Gastre;Otros;m3;1,262,881,338;m3;sd
Chubut;Gastre;Populus spp.;m3;6728,7;m3;sd
Chubut;Gastre;Salix spp.;m3;6,620,207,913;m3;sd
Chubut;Languineo;Pinus spp.;m3;4,954,926,288;m3;239993,54
Chubut;Languineo;Otros;m3;1,885,247,624;m3;16,42
